embryo_cut_rate,germline_cut_rate,Dwt_female_fitness,threshold,capacity
0.55,0.75,1.0,0.52,100000
0.6,0.75,1.0,0.53,100000
0.65,0.75,1.0,0.55,100000
0.7,0.75,1.0,0.57,100000
0.75,0.75,1.0,0.59,100000
0.8,0.75,1.0,0.61,100000
0.85,0.75,1.0,0.62,100000
0.9,0.75,1.0,0.65,100000
0.95,0.75,1.0,0.67,100000
1.0,0.75,1.0,0.68,100000
0.0,0.8,1.0,0.03,100000
0.05,0.8,1.0,0.11,100000
0.1,0.8,1.0,0.16,100000
0.15,0.8,1.0,0.21,100000
0.2,0.8,1.0,0.26,100000
0.25,0.8,1.0,0.3,100000
0.3,0.8,1.0,0.34,100000
0.35,0.8,1.0,0.38,100000
0.4,0.8,1.0,0.41,100000
0.45,0.8,1.0,0.44,100000
0.5,0.8,1.0,0.47,100000
0.55,0.8,1.0,0.49,100000
0.6,0.8,1.0,0.52,100000
0.65,0.8,1.0,0.52,100000
0.7,0.8,1.0,0.55,100000
0.75,0.8,1.0,0.56,100000
0.8,0.8,1.0,0.58,100000
0.85,0.8,1.0,0.61,100000
0.9,0.8,1.0,0.63,100000
0.95,0.8,1.0,0.65,100000
1.0,0.8,1.0,0.66,100000
0.0,0.85,1.0,0.04,100000
0.05,0.85,1.0,0.09,100000
0.1,0.85,1.0,0.13,100000
0.15,0.85,1.0,0.19,100000
0.2,0.85,1.0,0.24,100000
0.25,0.85,1.0,0.27,100000
0.3,0.85,1.0,0.32,100000
0.35,0.85,1.0,0.35,100000
0.4,0.85,1.0,0.39,100000
0.45,0.85,1.0,0.42,100000
0.5,0.85,1.0,0.44,100000
0.55,0.85,1.0,0.47,100000
0.6,0.85,1.0,0.48,100000
0.65,0.85,1.0,0.51,100000
0.7,0.85,1.0,0.53,100000
0.75,0.85,1.0,0.54,100000
0.8,0.85,1.0,0.56,100000
0.85,0.85,1.0,0.59,100000
0.9,0.85,1.0,0.59,100000
0.95,0.85,1.0,0.62,100000
1.0,0.85,1.0,0.63,100000
0.0,0.9,1.0,0.03,100000
