radius,fraction,migration,r1_occurrence,germline,embryo,conversion,fitness,dominantR2,recessiveR2,invasiveness,suppressed_withoutChase,drive_lost_withoutChase,pop_resistence_without_chase,suppressed_afterChase,drive_lost_afterChase,pop_resistence_after_chase, long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending_population_size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile,final_female_fertile
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.266726,0.457127,0.0470852,22077,0,0,0,0,9153
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,18,0.238812,0.403265,0.027786,10167,0,0,0,0,4438
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.318182,0.527565,0.0530168,12298,0,0,0,0,4787
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,19,0.262598,0.424854,0.027354,22483,0,0,0,0,9578
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,17,0.258086,0.451155,0.0325633,9090,0,0,0,0,3980
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.280293,0.471069,0.0423586,7708,0,0,0,0,3178
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,37,0,0,0,0,13,6692,24,1494,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,0,0,1,0,60,0.437561,0.625858,0.0771817,14278,13,6704,47,1381,4274
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,17,0.276165,0.448803,0.0380612,14122,0,0,0,0,5873
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,17,0.277586,0.452193,0.0358968,15071,0,0,0,0,6287
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.29753,0.494748,0.0663165,8663,0,0,0,0,3315
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,18,0.292104,0.487754,0.0436148,12576,0,0,0,0,5092
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,54,0,0,0,0,13,4114,41,876,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.290312,0.464109,0.0397269,15380,0,0,0,0,6135
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,0,0,1,0,35,0.307513,0.503818,0.047763,19513,12,13523,23,3659,7729
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,18,0.298454,0.486927,0.0269247,9638,0,0,0,0,4019
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,17,0.31541,0.499189,0.0515931,11707,0,0,0,0,4523
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.328868,0.530717,0.0603067,11085,0,0,0,0,4186
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,18,0.266533,0.434433,0.0269168,7969,0,0,0,0,3344
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
