radius,fraction,migration,r1_occurrence,germline,embryo,conversion,fitness,dominantR2,recessiveR2,invasiveness,suppressed_withoutChase,drive_lost_withoutChase,pop_resistence_without_chase,suppressed_afterChase,drive_lost_afterChase,pop_resistence_after_chase, long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending_population_size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile,final_female_fertile
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,1,0,0,0,25,0,0,0,0,14,144,11,16,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,41,0.3774,0.587841,0.14779,15363,12,2668,29,463,5276
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,77,0.417558,0.643569,0.104552,13840,14,5005,63,980,4862
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,72,0.44816,0.686511,0.139572,24894,12,17525,60,5706,7867
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,70,0.312083,0.526711,0.0617174,9584,12,8273,58,2395,4077
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,141,0.382647,0.615324,0.0874501,15283,13,8753,128,2069,5948
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,51,0.260898,0.434144,0.10598,8511,14,4828,37,1041,3535
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,22,0.425408,0.652338,0.139537,21403,11,7005,11,1381,7146
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,44,0.381676,0.597625,0.135776,15242,13,2729,31,506,5332
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,16,0.318797,0.537653,0.048343,13518,0,0,0,0,5821
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,1,0,0,0,40,0,0,0,0,13,1720,27,254,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,81,0.503714,0.728234,0.138152,19388,12,6571,69,1237,5358
