original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
0,52,0.53,0.924779,0.55,0.786553,0.63,0.111382,0.65,0.0701107,0.533585,0.635516,0.101931,,
0,53,0.53,0.950862,0.55,0.84141,0.63,0.141531,0.65,0.0845231,0.539294,0.64457,0.105276,,
0,54,0.53,0.964011,0.55,0.876695,0.63,0.165544,0.65,0.0952668,0.544662,0.648653,0.103991,,
0,55,0.55,0.930341,0.57,0.791582,0.65,0.116531,0.67,0.0732323,0.554373,0.657636,0.103263,,
0,56,0.55,0.953343,0.57,0.852941,0.65,0.132272,0.67,0.0790684,0.560626,0.662132,0.101506,,
0,57,0.55,0.967968,0.57,0.879029,0.65,0.157861,0.67,0.0917239,0.565284,0.667497,0.102213,,
0,58,0.57,0.921839,0.59,0.778765,0.67,0.118168,0.69,0.0696023,0.573053,0.677482,0.104429,,
0,59,0.57,0.9462,0.59,0.822574,0.67,0.135674,0.69,0.0770125,0.577474,0.682163,0.104689,,
0,60,0.57,0.964722,0.59,0.877392,0.67,0.169652,0.69,0.093512,0.584822,0.688296,0.103474,,
0,61,0.59,0.916236,0.61,0.765868,0.69,0.105708,0.71,0.0684256,0.59216,0.693062,0.100902,,
0,62,0.59,0.937993,0.61,0.822646,0.69,0.125747,0.71,0.0755608,0.596588,0.700261,0.103673,,
0,63,0.59,0.962382,0.61,0.89075,0.69,0.157303,0.71,0.0871101,0.607417,0.706327,0.09891,,
0,64,0.61,0.9276,0.63,0.78133,0.71,0.110678,0.73,0.0578933,0.613774,0.714046,0.100272,,
0,65,0.61,0.948942,0.63,0.828607,0.71,0.143705,0.73,0.0762076,0.618134,0.72295,0.104816,,
0,66,0.61,0.961621,0.63,0.885493,0.71,0.180104,0.73,0.0927152,0.626189,0.728333,0.102144,,
0,67,0.63,0.926354,0.65,0.777731,0.73,0.113079,0.75,0.0621065,0.633546,0.735132,0.101586,,
0,68,0.63,0.933986,0.65,0.824059,0.73,0.138437,0.75,0.0826737,0.636183,0.743786,0.107603,,
0,69,0.63,0.967391,0.65,0.879888,0.73,0.160256,0.75,0.0851574,0.645403,0.746047,0.100644,,
0,70,0.65,0.920245,0.67,0.76647,0.75,0.104135,0.77,0.0597101,0.652633,0.751862,0.099229,,
0,71,0.65,0.943086,0.67,0.833043,0.75,0.128173,0.77,0.0825352,0.657831,0.762346,0.104515,,
0,72,0.65,0.963855,0.67,0.877778,0.75,0.182026,0.77,0.0977871,0.664837,0.769475,0.104638,,
0,73,0.65,0.973967,0.67,0.89186,0.77,0.113833,0.79,0.0647797,0.668017,0.77564,0.107623,,
0,74,0.67,0.942586,0.69,0.819658,0.77,0.139497,0.79,0.0747556,0.676929,0.782201,0.105272,,
0,75,0.67,0.966325,0.69,0.873385,0.77,0.163092,0.79,0.0973631,0.684273,0.789198,0.104925,,
0,76,0.69,0.902402,0.71,0.771893,0.79,0.102564,0.81,0.0660377,0.690368,0.791404,0.101036,,
0,77,0.69,0.943482,0.71,0.834609,0.79,0.12707,0.81,0.0712788,0.697988,0.799704,0.101716,,
0,0,0.19,0.968232,0.21,0.892282,0.29,0.154642,0.31,0.0849112,0.207968,0.305672,0.097704,,
0,1,0.21,0.909471,0.23,0.767568,0.29,0.191691,0.31,0.0996016,0.211335,0.309913,0.098578,,
0,2,0.21,0.937037,0.23,0.82182,0.31,0.120565,0.33,0.0680507,0.216429,0.317832,0.101403,,
0,3,0.21,0.963347,0.23,0.875822,0.31,0.136437,0.33,0.0735598,0.224475,0.32159,0.097115,,
0,4,0.23,0.915482,0.25,0.743401,0.31,0.15624,0.33,0.0962769,0.231799,0.328758,0.096959,,
0,5,0.23,0.939746,0.25,0.794408,0.33,0.123848,0.35,0.0689174,0.235469,0.338683,0.103214,,
0,6,0.23,0.947699,0.25,0.844033,0.33,0.147635,0.35,0.0780658,0.239202,0.343694,0.104492,,
0,7,0.23,0.970165,0.25,0.890551,0.35,0.100378,0.37,0.0539295,0.247626,0.350163,0.102537,,
0,8,0.25,0.924823,0.27,0.792977,0.35,0.123778,0.37,0.0739612,0.253765,0.359546,0.105781,,
0,9,0.25,0.95098,0.27,0.83122,0.35,0.136776,0.37,0.0864382,0.258514,0.364612,0.106098,,
0,10,0.25,0.964146,0.27,0.883484,0.35,0.156069,0.37,0.0940018,0.265905,0.368067,0.102162,,
0,11,0.27,0.922549,0.29,0.785859,0.37,0.114495,0.39,0.0654565,0.273299,0.375912,0.102613,,
0,12,0.27,0.940494,0.29,0.84167,0.37,0.140801,0.39,0.0831894,0.278195,0.384164,0.105969,,
0,13,0.27,0.961605,0.29,0.880048,0.37,0.155469,0.39,0.0926359,0.285107,0.387656,0.102549,,
0,14,0.29,0.909814,0.31,0.766667,0.39,0.1157,0.41,0.0597811,0.291371,0.395615,0.104244,,
0,15,0.29,0.930908,0.31,0.819439,0.39,0.141084,0.41,0.0759039,0.295546,0.402606,0.10706,,
0,16,0.29,0.96389,0.31,0.86788,0.39,0.153355,0.41,0.0884011,0.303309,0.406429,0.10312,,
0,17,0.31,0.914657,0.33,0.744086,0.41,0.115946,0.43,0.0703769,0.311719,0.416999,0.10528,,
0,18,0.31,0.943077,0.33,0.812876,0.41,0.130661,0.43,0.0787879,0.316617,0.421822,0.105205,,
0,19,0.31,0.957386,0.33,0.864427,0.41,0.161788,0.43,0.0937691,0.322347,0.428168,0.105821,,
0,20,0.31,0.974207,0.33,0.899494,0.43,0.107463,0.45,0.0672556,0.329865,0.433712,0.103847,,
0,21,0.33,0.935877,0.35,0.814595,0.43,0.117552,0.45,0.0830479,0.335916,0.440174,0.104258,,
0,22,0.33,0.960338,0.35,0.863578,0.43,0.14829,0.45,0.0855974,0.342472,0.445405,0.102933,,
0,23,0.33,0.969654,0.35,0.89972,0.43,0.181157,0.45,0.0971178,0.34992,0.449314,0.099394,,
0,24,0.35,0.928849,0.37,0.828833,0.45,0.121896,0.47,0.0803648,0.355769,0.460544,0.104775,,
0,25,0.35,0.958364,0.37,0.87013,0.45,0.146862,0.47,0.0926942,0.363229,0.467303,0.104074,,
0,26,0.37,0.91755,0.39,0.730146,0.47,0.106042,0.49,0.0570536,0.371873,0.472467,0.100594,,
0,27,0.37,0.932336,0.39,0.823602,0.47,0.136407,0.49,0.0798939,0.375948,0.482884,0.106936,,
0,28,0.37,0.951347,0.39,0.855703,0.47,0.16645,0.49,0.0957172,0.380737,0.488789,0.108052,,
0,29,0.37,0.976091,0.39,0.895339,0.49,0.110571,0.51,0.0732419,0.388846,0.495664,0.106818,,
0,30,0.39,0.917633,0.41,0.796121,0.49,0.11866,0.51,0.0842745,0.392902,0.500853,0.107951,,
0,31,0.39,0.956763,0.41,0.853126,0.49,0.150368,0.51,0.0893939,0.400954,0.506521,0.105567,,
0,32,0.41,0.920732,0.43,0.743875,0.49,0.169649,0.51,0.0981671,0.412344,0.509487,0.097143,,
0,33,0.41,0.939429,0.43,0.813339,0.51,0.122672,0.53,0.06972,0.416254,0.518563,0.102309,,
0,34,0.41,0.959971,0.43,0.860965,0.51,0.139632,0.53,0.0936574,0.422115,0.527241,0.105126,,
0,35,0.43,0.902486,0.45,0.736998,0.53,0.107465,0.55,0.0674314,0.4303,0.533729,0.103429,,
0,36,0.43,0.929131,0.45,0.799041,0.53,0.128744,0.55,0.0852916,0.434479,0.54323,0.108751,,
0,37,0.43,0.959368,0.45,0.853717,0.53,0.149406,0.55,0.096294,0.441239,0.548604,0.107365,,
0,38,0.43,0.971943,0.45,0.896219,0.55,0.109278,0.57,0.059792,0.449001,0.55375,0.104749,,
0,39,0.45,0.932277,0.47,0.793195,0.55,0.13182,0.57,0.0746059,0.454641,0.561123,0.106482,,
0,40,0.45,0.956207,0.47,0.856734,0.55,0.156547,0.57,0.0858496,0.461301,0.565997,0.104696,,
0,41,0.47,0.90393,0.49,0.730524,0.57,0.10094,0.59,0.0591716,0.470453,0.57045,0.099997,,
0,42,0.47,0.936178,0.49,0.785564,0.57,0.114542,0.59,0.0740964,0.474804,0.577191,0.102387,,
0,43,0.47,0.954733,0.49,0.820093,0.57,0.154386,0.59,0.0807416,0.47813,0.58477,0.10664,,
0,44,0.47,0.967356,0.49,0.892089,0.59,0.107903,0.61,0.0580757,0.487898,0.593172,0.105274,,
0,45,0.49,0.9339,0.51,0.806176,0.59,0.123585,0.61,0.0767659,0.495308,0.600075,0.104767,,
0,46,0.49,0.960272,0.51,0.858187,0.59,0.151098,0.61,0.0857893,0.501808,0.605648,0.10384,,
0,47,0.51,0.911068,0.53,0.715953,0.59,0.185515,0.61,0.0969203,0.511135,0.609305,0.09817,,
0,48,0.51,0.912632,0.53,0.781672,0.61,0.12182,0.63,0.0709921,0.511929,0.618586,0.106657,,
0,49,0.51,0.952809,0.53,0.855122,0.61,0.136364,0.63,0.0936319,0.520812,0.62702,0.106208,,
0,50,0.51,0.971009,0.53,0.886963,0.63,0.101166,0.65,0.0589556,0.526898,0.630552,0.103654,,
0,51,0.53,0.924748,0.55,0.779789,0.63,0.113043,0.65,0.0659782,0.533414,0.635543,0.102129,,
0,52,0.53,0.953302,0.55,0.834049,0.63,0.125688,0.65,0.0741606,0.538939,0.639971,0.101032,,
0,53,0.53,0.959551,0.55,0.87974,0.63,0.163602,0.65,0.0898367,0.544923,0.647244,0.102321,,
0,54,0.55,0.906469,0.57,0.770736,0.63,0.183534,0.65,0.0962064,0.550953,0.649131,0.098178,,
0,55,0.55,0.941791,0.57,0.820492,0.65,0.124397,0.67,0.0739243,0.556891,0.659667,0.102776,,
0,56,0.55,0.95399,0.57,0.86911,0.65,0.149533,0.67,0.0917298,0.562721,0.667138,0.104417,,
0,57,0.55,0.972163,0.57,0.897293,0.67,0.102047,0.69,0.0578099,0.569277,0.670925,0.101648,,
