original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
0,30,0.59,0.934537,0.61,0.890048,0.79,0.13276,0.81,0.0911836,0.605526,0.805759,0.200233,,
0,31,0.61,0.930723,0.63,0.853543,0.81,0.113955,0.83,0.0823096,0.617961,0.81882,0.200859,,
0,32,0.63,0.901158,0.65,0.839446,0.83,0.101981,0.85,0.0820136,0.630375,0.831984,0.201609,,
0,33,0.63,0.938128,0.65,0.894569,0.83,0.118959,0.85,0.0861574,0.647506,0.84156,0.194054,,
0,34,0.65,0.914747,0.67,0.840104,0.85,0.110329,0.87,0.0769669,0.653951,0.856192,0.202241,,
0,35,0.67,0.901291,0.69,0.830624,0.85,0.130802,0.87,0.0862069,0.670365,0.863814,0.193449,,
0,36,0.67,0.952569,0.69,0.872954,0.85,0.146082,0.87,0.0908019,0.683206,0.866672,0.183466,,
0,37,0.69,0.903045,0.71,0.853514,0.89,0.105889,0.91,0.0824053,0.69123,0.895015,0.203785,,
original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
1,0,0.19,0.940184,0.21,0.880779,0.41,0.104332,0.43,0.0832841,0.203529,0.414116,0.210587,,
1,1,0.21,0.932075,0.23,0.872014,0.43,0.106269,0.45,0.0734266,0.220681,0.433818,0.213137,,
1,2,0.23,0.912837,0.25,0.829289,0.43,0.106345,0.45,0.0846246,0.233073,0.435842,0.202769,,
1,3,0.23,0.947592,0.25,0.885031,0.43,0.131957,0.45,0.0943276,0.245215,0.446985,0.20177,,
1,4,0.25,0.922427,0.27,0.88161,0.45,0.105516,0.47,0.0943847,0.260989,0.459911,0.198922,,
1,5,0.25,0.948958,0.27,0.896789,0.47,0.104738,0.49,0.0658343,0.268769,0.472436,0.203667,,
1,6,0.27,0.94552,0.29,0.86767,0.47,0.115872,0.49,0.0773081,0.281694,0.478232,0.196538,,
1,7,0.29,0.915482,0.31,0.843727,0.49,0.111388,0.51,0.0855148,0.294315,0.498803,0.204488,,
1,8,0.31,0.901665,0.33,0.823678,0.49,0.138217,0.51,0.0861665,0.310427,0.504685,0.194258,,
1,9,0.31,0.945183,0.33,0.87126,0.51,0.114447,0.53,0.0835294,0.322224,0.519345,0.197121,,
1,10,0.33,0.924485,0.35,0.839496,0.53,0.102157,0.55,0.0780516,0.335762,0.53179,0.196028,,
1,11,0.33,0.933689,0.35,0.899329,0.53,0.126623,0.55,0.0925162,0.349609,0.545612,0.196003,,
1,12,0.35,0.938272,0.37,0.886598,0.55,0.10814,0.57,0.0977273,0.364813,0.565635,0.200822,,
1,13,0.37,0.913891,0.39,0.839184,0.57,0.103258,0.59,0.0849791,0.373719,0.573565,0.199846,,
1,14,0.37,0.948289,0.39,0.89685,0.57,0.125999,0.59,0.0867499,0.388775,0.583248,0.194473,,
1,15,0.39,0.927843,0.41,0.890785,0.59,0.107227,0.61,0.0783305,0.405027,0.595002,0.189975,,
1,16,0.41,0.912915,0.43,0.838631,0.59,0.134578,0.61,0.09689,0.413477,0.60835,0.194873,,
1,17,0.41,0.930023,0.43,0.881342,0.61,0.121137,0.63,0.0855962,0.422335,0.621894,0.199559,,
1,18,0.43,0.926471,0.45,0.858282,0.61,0.135218,0.63,0.0992866,0.437764,0.629603,0.191839,,
1,19,0.43,0.92154,0.45,0.897565,0.63,0.119637,0.65,0.098409,0.447969,0.648501,0.200532,,
1,20,0.45,0.920161,0.47,0.862188,0.65,0.107165,0.67,0.0915293,0.456955,0.659165,0.20221,,
1,21,0.47,0.916921,0.49,0.831807,0.65,0.138528,0.67,0.0969267,0.473976,0.668522,0.194546,,
1,22,0.47,0.925562,0.49,0.882897,0.69,0.102417,0.71,0.0815728,0.481983,0.692319,0.210336,,
1,23,0.49,0.911371,0.51,0.858108,0.69,0.111628,0.71,0.0837493,0.49427,0.698342,0.204072,,
1,24,0.51,0.901563,0.53,0.815534,0.69,0.133206,0.71,0.0934034,0.510363,0.706685,0.196322,,
1,25,0.51,0.923873,0.53,0.867188,0.71,0.10804,0.73,0.087402,0.518423,0.717791,0.199368,,
1,26,0.53,0.907658,0.55,0.82715,0.73,0.117998,0.75,0.0887097,0.531902,0.74229,0.210388,,
1,27,0.53,0.941493,0.55,0.872112,0.75,0.100118,0.77,0.0737898,0.541961,0.75009,0.208129,,
1,28,0.55,0.919044,0.57,0.848265,0.75,0.112701,0.77,0.0913268,0.555381,0.761884,0.206503,,
1,29,0.57,0.914557,0.59,0.831325,0.77,0.110097,0.79,0.0870588,0.573498,0.778765,0.205267,,
1,30,0.57,0.943548,0.59,0.871545,0.79,0.10582,0.81,0.0664356,0.582096,0.792955,0.210859,,
1,31,0.59,0.919602,0.61,0.84466,0.79,0.105101,0.81,0.090034,0.595231,0.796771,0.20154,,
