radius,fraction,migration,growth,germline,embryo,conversion,fitness,dominantR2,recessiveR2invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending_pop_size,ending_fertile_female,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,1,0,0,60,0,1,0,0,0,12,4010,49,685
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,0,0,1,1000,0.62748,0.842892,0.222207,3679,508,13,9079,987,2012
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,1,0,0,338,0,0,0,0,0,13,10692,325,2531
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,0,0,1,1000,0.458186,0.688799,0.257856,3946,922,12,9426,988,2059
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,0,0,1,1000,0.328086,0.489307,0.231023,10895,3469,19,10684,981,2598
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,1,0,0,606,0,0,0,0,0,13,11045,593,2837
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,0,0,1,1000,0.654886,0.876819,0.20868,1924,268,12,9394,988,2050
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,0,0,1,1000,0.540453,0.765544,0.213403,12706,2639,12,9233,988,2006
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,1,0,0,552,0,0,0,0,0,13,11911,539,3345
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,0,0,1,1000,0.584418,0.817036,0.226593,7220,1285,13,9632,987,2092
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,1,0,0,836,0,0,0,0,0,13,10154,823,2336
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,1,0,0,200,0,0,0,0,0,13,8417,187,1684
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,0,0,1,1000,0.426932,0.645732,0.218477,12372,3460,14,9581,986,2101
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,1,0,0,169,0,0,0,0,0,13,7020,156,1258
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,0,0,1,1000,0.664587,0.880129,0.188504,5289,737,14,10387,986,2448
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,0,0,1,1000,0.537378,0.771881,0.22816,12454,2548,13,9996,987,2217
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,1,0,0,173,0,0,0,0,0,13,8241,160,1597
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,0,0,1,1000,0.549312,0.738201,0.237354,4725,870,14,10165,986,2243
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,0,0,1,1000,0.53381,0.746298,0.237414,6078,1113,17,10489,983,2693
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,1,0,0,77,0,0,0,0,0,17,7628,60,1568
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,1,0,0,80,0,0,0,0,0,14,9218,66,2163
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,0,0,1,1000,0.676065,0.87839,0.214593,4646,490,13,9905,987,2190
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,0,0,1,1000,0.600602,0.838504,0.216601,8638,1495,18,9550,982,2093
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,0,0,1,1000,0.601791,0.824259,0.187523,13793,2485,13,9341,987,2142
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,1,0,0,410,0,1,0,0,0,14,10224,397,2179
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,0,0,1,1000,0.742424,0.90303,0.187879,165,14,15,9089,985,1981
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,0,0,1,1000,0.789199,0.960919,0.127901,4222,329,16,10170,984,2446
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,0,0,1,1000,0.674622,0.906722,0.197295,5028,625,12,11201,988,2805
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,F,T,0,0,1,0,0,143,0,0,0,0,0,14,8413,129,1886
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,1,0,0,159,0,0,0,0,0,14,9538,145,2216
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,1,0,0,35,0,0,0,0,0,14,2323,21,335
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,0,0,1,1000,0.677157,0.895279,0.186923,3686,470,15,9078,985,1965
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,0,0,1,1000,0.366844,0.574191,0.194159,15204,4972,14,10667,986,2511
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,0,0,1,1000,0.564773,0.803504,0.204072,10560,2086,14,10973,986,2563
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,1,0,0,274,0,0,0,0,0,13,10332,261,2377
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,1,0,0,340,0,0,0,0,0,13,9003,327,1865
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,0,0,1,1000,0.571773,0.801807,0.199059,13285,2577,13,10607,987,2420
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,0,0,1,1000,0.506198,0.739835,0.280744,6050,1118,13,10801,987,2586
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,0,0,1,1000,0.530286,0.75986,0.173639,16278,3904,14,10708,986,2644
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,0,0,1,1000,0.478902,0.698577,0.156545,18343,4974,14,10230,986,2275
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,0,0,1,1000,0.556372,0.780963,0.22053,8373,1664,14,10022,986,2148
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,0,0,1,1000,0.541817,0.778874,0.218756,10546,2202,14,9748,986,2128
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,0,0,1,1000,0.548665,0.795085,0.238525,6144,1190,17,10624,983,2390
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,0,0,1,1000,0.520455,0.760521,0.243206,17037,3565,17,10458,983,2399
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,0,0,1,1000,0.453234,0.669493,0.244633,7313,1829,13,9398,987,2085
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,0,0,1,1000,0.67035,0.87477,0.188613,3258,410,13,11162,987,2625
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,1,0,0,246,0,0,0,0,0,15,13837,231,3547
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,0,0,1,1000,0.621156,0.813653,0.162515,3252,585,15,10195,985,2442
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,F,T,0,0,0,0,1,1000,0.704981,0.904215,0.173372,522,59,14,9737,986,2098
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.600578,0.838449,0.230363,6060,938,14,11440,986,2794
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.613599,0.850713,0.202732,8420,1382,17,9794,983,2047
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.551167,0.790019,0.218132,19016,3840,13,9675,987,1948
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.535118,0.779234,0.216726,24261,5092,14,10353,986,2306
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.657042,0.870388,0.201797,3117,410,15,9942,985,2139
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.60436,0.834012,0.208794,6880,1106,14,10002,986,2183
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.670662,0.88873,0.199732,5590,674,13,10541,987,2366
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.586863,0.80712,0.231974,4438,737,13,10990,987,2536
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.588838,0.834064,0.237242,6388,1018,14,9736,986,1996
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.342629,0.526194,0.250207,12102,3611,14,10775,986,2355
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.569877,0.770513,0.223673,4558,820,17,11301,983,2682
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.53458,0.745707,0.240061,4251,824,16,11064,984,2657
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.642643,0.866366,0.185864,4662,683,15,10376,985,2339
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.653698,0.878651,0.200871,9073,1233,15,11068,985,2632
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.486302,0.723079,0.255633,8432,1825,14,10064,986,2280
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.420708,0.648345,0.238106,19485,5425,14,10487,986,2305
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.633785,0.833424,0.217615,5535,738,14,10314,986,2252
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,1,0,0,125,0,0,0,0,0,17,7687,108,1424
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,F,T,0,0,0,0,1,1000,0.649736,0.877895,0.187702,6822,1041,14,9817,986,2036
