radius,fraction,migration,growth,germline,embryo,fitness,invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending population size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,320,0,1,0,0,9,12707,312,2515
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,72,0,0,0,0,27,1927,45,252
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,66,0,0,0,0,7,11424,59,2047
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,28,0,0,0,0,0,0,0,0
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,247,0,0,0,0,26,10031,221,1837
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,89,0,0,0,0,22,23878,67,6311
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,202,0,0,0,0,22,12370,180,2618
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,32,0,0,0,0,0,0,0,0
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,414,0,0,0,0,10,14213,404,3215
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,0,1,0,36,0.0,0.0,1.00726e-05,99279,24,36041,12,16030
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,92,0,0,0,0,27,22803,65,5903
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,25,0,0,0,0,0,0,0,0
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,203,0,0,0,0,25,7169,178,1116
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,56,0,0,0,0,24,15193,32,2995
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,36,0,0,0,0,0,0,0,0
0.2,0.35,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,75,0,0,0,0,22,18696,53,4451
